ND,SD,NE,KS,OK,MN,IA,MO,AR,LA,MS,WI,IL,MI,IN,OH,KY,TN,AL,FL,GA,SC,NC,WV,MD,DE,PA,NJ,NY,NH,CT,RI,MA,VT,ME
1.7892499999999998,2.148,1.3289999999999997,1.5510000000000002,1.8219999999999998,2.011,1.5632222222222223,1.5689629629629633,1.8455000000000006,2.5777777777777775,2.639,2.077045454545454,1.8297999999999999,2.060428571428571,2.2031428571428573,2.0566,1.9119753086419757,2.137384615384615,2.1184444444444446,2.581272727272727,2.651045454545454,3.097583333333333,2.6849268292682926,2.205857142857143,3.25,3.25,3.25,3.25,3.25,3.1310000000000002,3.25,3.25,3.25,3.25,3.25
1.7892499999999998,2.148,1.3289999999999997,1.5510000000000002,1.8219999999999998,2.011,1.5632222222222223,1.5689629629629633,1.8455000000000006,2.5777777777777775,2.639,2.077045454545454,1.8297999999999999,2.060428571428571,2.2031428571428573,2.0566,1.9119753086419757,2.137384615384615,2.1184444444444446,2.581272727272727,2.651045454545454,3.097583333333333,2.6849268292682926,2.205857142857143,3.25,3.25,3.25,3.25,3.25,3.1310000000000002,3.25,3.25,3.25,3.25,3.25
1.7892499999999998,2.148,1.3289999999999997,1.5510000000000002,1.8219999999999998,2.011,1.5632222222222223,1.5689629629629633,1.8455000000000006,2.5777777777777775,2.639,2.077045454545454,1.8297999999999999,2.060428571428571,2.2031428571428573,2.0566,1.9119753086419757,2.137384615384615,2.1184444444444446,2.581272727272727,2.651045454545454,3.097583333333333,2.6849268292682926,2.205857142857143,3.25,3.25,3.25,3.25,3.25,3.1310000000000002,3.25,3.25,3.25,3.25,3.25
1.7892499999999998,2.148,1.3289999999999997,1.5510000000000002,1.8219999999999998,2.011,1.5632222222222223,1.5689629629629633,1.8455000000000006,2.5777777777777775,2.639,2.077045454545454,1.8297999999999999,2.060428571428571,2.2031428571428573,2.0566,1.9119753086419757,2.137384615384615,2.1184444444444446,2.581272727272727,2.651045454545454,3.097583333333333,2.6849268292682926,2.205857142857143,3.25,3.25,3.25,3.25,3.25,3.1310000000000002,3.25,3.25,3.25,3.25,3.25
1.7892499999999998,2.148,1.3289999999999997,1.5510000000000002,1.8219999999999998,2.011,1.5632222222222223,1.5689629629629633,1.8455000000000006,2.5777777777777775,2.639,2.077045454545454,1.8297999999999999,2.060428571428571,2.2031428571428573,2.0566,1.9119753086419757,2.137384615384615,2.1184444444444446,2.581272727272727,2.651045454545454,3.097583333333333,2.6849268292682926,2.205857142857143,3.25,3.25,3.25,3.25,3.25,3.1310000000000002,3.25,3.25,3.25,3.25,3.25
1.7892499999999998,2.148,1.3289999999999997,1.5510000000000002,1.8219999999999998,2.011,1.5632222222222223,1.5689629629629633,1.8455000000000006,2.5777777777777775,2.639,2.077045454545454,1.8297999999999999,2.060428571428571,2.2031428571428573,2.0566,1.9119753086419757,2.137384615384615,2.1184444444444446,2.581272727272727,2.651045454545454,3.097583333333333,2.6849268292682926,2.205857142857143,3.25,3.25,3.25,3.25,3.25,3.1310000000000002,3.25,3.25,3.25,3.25,3.25
1.7892499999999998,2.148,1.3289999999999997,1.5510000000000002,1.8219999999999998,2.011,1.5632222222222223,1.5689629629629633,1.8455000000000006,2.5777777777777775,2.639,2.077045454545454,1.8297999999999999,2.060428571428571,2.2031428571428573,2.0566,1.9119753086419757,2.137384615384615,2.1184444444444446,2.581272727272727,2.651045454545454,3.097583333333333,2.6849268292682926,2.205857142857143,3.25,3.25,3.25,3.25,3.25,3.1310000000000002,3.25,3.25,3.25,3.25,3.25
1.7892499999999998,2.148,1.3289999999999997,1.5510000000000002,1.8219999999999998,2.011,1.5632222222222223,1.5689629629629633,1.8455000000000006,2.5777777777777775,2.639,2.077045454545454,1.8297999999999999,2.060428571428571,2.2031428571428573,2.0566,1.9119753086419757,2.137384615384615,2.1184444444444446,2.581272727272727,2.651045454545454,3.097583333333333,2.6849268292682926,2.205857142857143,3.25,3.25,3.25,3.25,3.25,3.1310000000000002,3.25,3.25,3.25,3.25,3.25
1.7892499999999998,2.148,1.3289999999999997,1.5510000000000002,1.8219999999999998,2.011,1.5632222222222223,1.5689629629629633,1.8455000000000006,2.5777777777777775,2.639,2.077045454545454,1.8297999999999999,2.060428571428571,2.2031428571428573,2.0566,1.9119753086419757,2.137384615384615,2.1184444444444446,2.581272727272727,2.651045454545454,3.097583333333333,2.6849268292682926,2.205857142857143,3.25,3.25,3.25,3.25,3.25,3.1310000000000002,3.25,3.25,3.25,3.25,3.25
1.7892499999999998,2.148,1.3289999999999997,1.5510000000000002,1.8219999999999998,2.011,1.5632222222222223,1.5689629629629633,1.8455000000000006,2.5777777777777775,2.639,2.077045454545454,1.8297999999999999,2.060428571428571,2.2031428571428573,2.0566,1.9119753086419757,2.137384615384615,2.1184444444444446,2.581272727272727,2.651045454545454,3.097583333333333,2.6849268292682926,2.205857142857143,3.25,3.25,3.25,3.25,3.25,3.1310000000000002,3.25,3.25,3.25,3.25,3.25
1.7892499999999998,2.148,1.3289999999999997,1.5510000000000002,1.8219999999999998,2.011,1.5632222222222223,1.5689629629629633,1.8455000000000006,2.5777777777777775,2.639,2.077045454545454,1.8297999999999999,2.060428571428571,2.2031428571428573,2.0566,1.9119753086419757,2.137384615384615,2.1184444444444446,2.581272727272727,2.651045454545454,3.097583333333333,2.6849268292682926,2.205857142857143,3.25,3.25,3.25,3.25,3.25,3.1310000000000002,3.25,3.25,3.25,3.25,3.25
1.7892499999999998,2.148,1.3289999999999997,1.5510000000000002,1.8219999999999998,2.011,1.5632222222222223,1.5689629629629633,1.8455000000000006,2.5777777777777775,2.639,2.077045454545454,1.8297999999999999,2.060428571428571,2.2031428571428573,2.0566,1.9119753086419757,2.137384615384615,2.1184444444444446,2.581272727272727,2.651045454545454,3.097583333333333,2.6849268292682926,2.205857142857143,3.25,3.25,3.25,3.25,3.25,3.1310000000000002,3.25,3.25,3.25,3.25,3.25
1.7892499999999998,2.148,1.3289999999999997,1.5510000000000002,1.8219999999999998,2.011,1.5632222222222223,1.5689629629629633,1.8455000000000006,2.5777777777777775,2.639,2.077045454545454,1.8297999999999999,2.060428571428571,2.2031428571428573,2.0566,1.9119753086419757,2.137384615384615,2.1184444444444446,2.581272727272727,2.651045454545454,3.097583333333333,2.6849268292682926,2.205857142857143,3.25,3.25,3.25,3.25,3.25,3.1310000000000002,3.25,3.25,3.25,3.25,3.25
1.7892499999999998,2.148,1.3289999999999997,1.5510000000000002,1.8219999999999998,2.011,1.5632222222222223,1.5689629629629633,1.8455000000000006,2.5777777777777775,2.639,2.077045454545454,1.8297999999999999,2.060428571428571,2.2031428571428573,2.0566,1.9119753086419757,2.137384615384615,2.1184444444444446,2.581272727272727,2.651045454545454,3.097583333333333,2.6849268292682926,2.205857142857143,3.25,3.25,3.25,3.25,3.25,3.1310000000000002,3.25,3.25,3.25,3.25,3.25
1.7892499999999998,2.148,1.3289999999999997,1.5510000000000002,1.8219999999999998,2.011,1.5632222222222223,1.5689629629629633,1.8455000000000006,2.5777777777777775,2.639,2.077045454545454,1.8297999999999999,2.060428571428571,2.2031428571428573,2.0566,1.9119753086419757,2.137384615384615,2.1184444444444446,2.581272727272727,2.651045454545454,3.097583333333333,2.6849268292682926,2.205857142857143,3.25,3.25,3.25,3.25,3.25,3.1310000000000002,3.25,3.25,3.25,3.25,3.25
1.7892499999999998,2.148,1.3289999999999997,1.5510000000000002,1.8219999999999998,2.011,1.5632222222222223,1.5689629629629633,1.8455000000000006,2.5777777777777775,2.639,2.077045454545454,1.8297999999999999,2.060428571428571,2.2031428571428573,2.0566,1.9119753086419757,2.137384615384615,2.1184444444444446,2.581272727272727,2.651045454545454,3.097583333333333,2.6849268292682926,2.205857142857143,3.25,3.25,3.25,3.25,3.25,3.1310000000000002,3.25,3.25,3.25,3.25,3.25
1.7892499999999998,2.148,1.3289999999999997,1.5510000000000002,1.8219999999999998,2.011,1.5632222222222223,1.5689629629629633,1.8455000000000006,2.5777777777777775,2.639,2.077045454545454,1.8297999999999999,2.060428571428571,2.2031428571428573,2.0566,1.9119753086419757,2.137384615384615,2.1184444444444446,2.581272727272727,2.651045454545454,3.097583333333333,2.6849268292682926,2.205857142857143,3.25,3.25,3.25,3.25,3.25,3.1310000000000002,3.25,3.25,3.25,3.25,3.25
1.7892499999999998,2.148,1.3289999999999997,1.5510000000000002,1.8219999999999998,2.011,1.5632222222222223,1.5689629629629633,1.8455000000000006,2.5777777777777775,2.639,2.077045454545454,1.8297999999999999,2.060428571428571,2.2031428571428573,2.0566,1.9119753086419757,2.137384615384615,2.1184444444444446,2.581272727272727,2.651045454545454,3.097583333333333,2.6849268292682926,2.205857142857143,3.25,3.25,3.25,3.25,3.25,3.1310000000000002,3.25,3.25,3.25,3.25,3.25
1.7892499999999998,2.148,1.3289999999999997,1.5510000000000002,1.8219999999999998,2.011,1.5632222222222223,1.5689629629629633,1.8455000000000006,2.5777777777777775,2.639,2.077045454545454,1.8297999999999999,2.060428571428571,2.2031428571428573,2.0566,1.9119753086419757,2.137384615384615,2.1184444444444446,2.581272727272727,2.651045454545454,3.097583333333333,2.6849268292682926,2.205857142857143,3.25,3.25,3.25,3.25,3.25,3.1310000000000002,3.25,3.25,3.25,3.25,3.25
1.7892499999999998,2.148,1.3289999999999997,1.5510000000000002,1.8219999999999998,2.011,1.5632222222222223,1.5689629629629633,1.8455000000000006,2.5777777777777775,2.639,2.077045454545454,1.8297999999999999,2.060428571428571,2.2031428571428573,2.0566,1.9119753086419757,2.137384615384615,2.1184444444444446,2.581272727272727,2.651045454545454,3.097583333333333,2.6849268292682926,2.205857142857143,3.25,3.25,3.25,3.25,3.25,3.1310000000000002,3.25,3.25,3.25,3.25,3.25
1.7892499999999998,2.148,1.3289999999999997,1.5510000000000002,1.8219999999999998,2.011,1.5632222222222223,1.5689629629629633,1.8455000000000006,2.5777777777777775,2.639,2.077045454545454,1.8297999999999999,2.060428571428571,2.2031428571428573,2.0566,1.9119753086419757,2.137384615384615,2.1184444444444446,2.581272727272727,2.651045454545454,3.097583333333333,2.6849268292682926,2.205857142857143,3.25,3.25,3.25,3.25,3.25,3.1310000000000002,3.25,3.25,3.25,3.25,3.25
1.7892499999999998,2.148,1.3289999999999997,1.5510000000000002,1.8219999999999998,2.011,1.5632222222222223,1.5689629629629633,1.8455000000000006,2.5777777777777775,2.639,2.077045454545454,1.8297999999999999,2.060428571428571,2.2031428571428573,2.0566,1.9119753086419757,2.137384615384615,2.1184444444444446,2.581272727272727,2.651045454545454,3.097583333333333,2.6849268292682926,2.205857142857143,3.25,3.25,3.25,3.25,3.25,3.1310000000000002,3.25,3.25,3.25,3.25,3.25
1.7892499999999998,2.148,1.3289999999999997,1.5510000000000002,1.8219999999999998,2.011,1.5632222222222223,1.5689629629629633,1.8455000000000006,2.5777777777777775,2.639,2.077045454545454,1.8297999999999999,2.060428571428571,2.2031428571428573,2.0566,1.9119753086419757,2.137384615384615,2.1184444444444446,2.581272727272727,2.651045454545454,3.097583333333333,2.6849268292682926,2.205857142857143,3.25,3.25,3.25,3.25,3.25,3.1310000000000002,3.25,3.25,3.25,3.25,3.25
1.7892499999999998,2.148,1.3289999999999997,1.5510000000000002,1.8219999999999998,2.011,1.5632222222222223,1.5689629629629633,1.8455000000000006,2.5777777777777775,2.639,2.077045454545454,1.8297999999999999,2.060428571428571,2.2031428571428573,2.0566,1.9119753086419757,2.137384615384615,2.1184444444444446,2.581272727272727,2.651045454545454,3.097583333333333,2.6849268292682926,2.205857142857143,3.25,3.25,3.25,3.25,3.25,3.1310000000000002,3.25,3.25,3.25,3.25,3.25
1.7892499999999998,2.148,1.3289999999999997,1.5510000000000002,1.8219999999999998,2.011,1.5632222222222223,1.5689629629629633,1.8455000000000006,2.5777777777777775,2.639,2.077045454545454,1.8297999999999999,2.060428571428571,2.2031428571428573,2.0566,1.9119753086419757,2.137384615384615,2.1184444444444446,2.581272727272727,2.651045454545454,3.097583333333333,2.6849268292682926,2.205857142857143,3.25,3.25,3.25,3.25,3.25,3.1310000000000002,3.25,3.25,3.25,3.25,3.25
1.7892499999999998,2.148,1.3289999999999997,1.5510000000000002,1.8219999999999998,2.011,1.5632222222222223,1.5689629629629633,1.8455000000000006,2.5777777777777775,2.639,2.077045454545454,1.8297999999999999,2.060428571428571,2.2031428571428573,2.0566,1.9119753086419757,2.137384615384615,2.1184444444444446,2.581272727272727,2.651045454545454,3.097583333333333,2.6849268292682926,2.205857142857143,3.25,3.25,3.25,3.25,3.25,3.1310000000000002,3.25,3.25,3.25,3.25,3.25
1.7892499999999998,2.148,1.3289999999999997,1.5510000000000002,1.8219999999999998,2.011,1.5632222222222223,1.5689629629629633,1.8455000000000006,2.5777777777777775,2.639,2.077045454545454,1.8297999999999999,2.060428571428571,2.2031428571428573,2.0566,1.9119753086419757,2.137384615384615,2.1184444444444446,2.581272727272727,2.651045454545454,3.097583333333333,2.6849268292682926,2.205857142857143,3.25,3.25,3.25,3.25,3.25,3.1310000000000002,3.25,3.25,3.25,3.25,3.25
